title,type,release_date,label,producer,artists,lyrics,composers,arrangers,tracklist
Z, Album,21/12/2005,,,Zwei,,,,
Zaishou no Lucifer [Type A], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zaishou no Lucifer [CD+DVD], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zaika ni Keiyaku no Chi wo, Single,25/06/2008,,,PHANTASM,,,,
Zaika, Single,15/02/2010,,,Mettle,,,,
"Zaijou ""Gluttony"" [Type B]", Single,24/06/2015,Double River Record,,The 3rd Birthday,,,,
"Zaijou ""Gluttony"" [Type A]", Single,24/06/2015,Double River Record,,The 3rd Birthday,,,,
Zai Zai, Album,18/12/2006,EE-Media,,Huang Ya Li,,,,
Zai Wu Feng Shi, Digital Single,10/12/2018,WAJIJIWA Entertainment,,Mao Bu Yi,,,,
Zai Wo Xin Shen Chu, Vinyle,01/05/1987,Polydor Hong Kong,PolyGram Records,Jacky Cheung,,,,
Zai Wo Xiang Qi Lai, Digital Single,07/09/2012,Bravo Entertainment,,Demon Li,,,,
Zai Wei Lai, Digital Single,20/11/2021,UNICEF China Office,,Roy Wang,,,,
Zai Shui Yi Ci Yes I Do, Mini-Album,23/12/2014,avex Taiwan,,Lin Yo Wei,,,,
Zai Shi Jie Zhong Xin, Album,28/09/2007,,,Kelly Poon,,,,
Zai Ni Shen Pang (I'll be there), Digital Single,28/02/2020,SM Entertainment,DREAMUS,Zhou Mi,,,,
Zai Ni Bei Ying Shou Hou [Cassette], Cassette audio,1989,Linfair Records,Linfair Magnetic Sound,Winnie Hsin,,,,
ZALZARA, Digital Single,26/07/2016,Mystic Entertainment,LOEN Entertainment,Muzie,,,,
Zakurogata no Yuuutsu, Single,28/07/2004,PS COMPANY,,the GazettE,RUKI [the GazettE],,,
Zakuro Iro no Tsuki to Kurutta Koi no Senritsu, Single,10/10/1999,Daiki Sound,,Merrygoround,,,,
Zakuro / Kyouki no Melody [Limited Edition], Single,14/07/2021,Bushiroad Music,Bushiroad Music,Fantôme Iris,,,,
Zakuro / Kyouki no Melody, Single,14/07/2021,Bushiroad Music,Bushiroad Music,Fantôme Iris,,,,
Zakuro, Single,14/02/2009,,,Baletta,,,,
Zakuro, Single,19/03/2008,,,D'ERLANGER,,,,
ZAIYA LIVE, Live Album,05/07/1996,Electric Bird,King Records,Kenso,,,,
Zaishou no Lucifer [Type D], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zaishou no Lucifer [Type C], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zaishou no Lucifer [Type B], Single,29/03/2017,Stand-Up! Records,CROWN TOKUMA music distribution,Iketeru Hearts,,,,
Zai Ni Bei Ying Shou Hou, Album,1989,Linfair Records,Linfair Magnetic Sound,Winnie Hsin,,,,
Zai Na Yao Yuan De Di Fang, Digital Single,31/05/2015,Chia Tai Music Entertainment,,A Lu A Zhuo,,,,
Zai Lu Pang, Album,06/03/2006,,,Zhong Li Feng,,,,
Zai Jian Bu Zai Jian, Digital Single,21/05/2015,Great China Mania,,Shila Amzah,,,,
Zai Jian, Digital Single,07/10/2015,Great China Mania,,Shila Amzah,,,,
Zài Huǐmiè Qián, Album,11/06/2010,,,OverDose (Rock),,,,
ZAPPING, Mini-Album,09/09/2019,FNC Entertainment,Kakao M,FTISLAND,,,,
Zap Mai Bat Fui, Album,05/02/1993,Cinepoly Records,PolyGram Records,Faye Wong,,,,
Zanzou [Limited Edition], Single,03/02/2010,A-Sketch,,flumpool,Yamamura Ryuta,"Sakai Kazuki,Tokita Satoshi","Furukawa Takahiro,Momota Rui,Tamai Kenji",
Zanzou, Single,03/02/2010,A-Sketch,,flumpool,Yamamura Ryuta,,"Furukawa Takahiro,Momota Rui,Tamai Kenji",
Zanza Misaki [Cassette], Cassette audio,22/10/2008,TEICHIKU RECORDS,TEICHIKU ENTERTAINMENT,Iriyama Akiko,,,,
Zanza Misaki, Single,22/10/2008,TEICHIKU RECORDS,TEICHIKU ENTERTAINMENT,Iriyama Akiko,,,,
Zany Zap Complex #1, Compilation,22/07/2009,,,"Golden Bomber,MANNEQUIN,SINCREA",,,,
Zantou/ Jyusouka, Single,15/06/2009,,,VIRGENOW,,,,
Zantou / Orange, Single,16/07/2008,Like an Edison Distribution,,as.milk,,,,
Zantetsuken [Limited Pressing], Single,26/09/2012,Danger Crue Records,avex Marketing,girugämesh,,,,
Zannen Kei Rinjinbu★★☆ (Hoshi Futatsu Han), Single,26/10/2011,Media Factory,,Tomodachi Tsukuritai,Arimori Satomi,,Tom-H@ck,
